i,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1,S/7,S/7,S/7,S/6,S/7,VRB/1,VRB/1,S/3,S/6,S/5,S/7,S/6
2,S/7,S/7,SE/6,S/6,VRB/2,VRB/1,VRB/1,VRB/1,S/6,VRB/2,S/8,S/9
3,S/8,S/8,S/7,VRB/1,S/8,S/5,S/6,VRB/1,S/7,VRB/2,S/7,S/6
4,S/8,S/8,S/5,S/7,VRB/2,VRB/1,VRB/1,S/7,VRB/2,S/7,S/7,S/7
5,S/9,S/6,SW/11,VRB/2,S/10,VRB/1,VRB/2,VRB/1,S/7,S/8,S/7,S/9
6,SW/12,S/8,S/8,VRB/1,S/5,VRB/1,VRB/1,VRB/1,VRB/1,VRB/2,S/8,S/9
7,S/8,S/7,VRB/1,S/8,VRB/1,VRB/2,VRB/2,VRB/1,VRB/1,S/9,SW/9,S/7
8,S/7,S/7,S/8,SW/7,S/5,S/4,VRB/1,NW/3,S/7,S/6,S/6,S/9
9,S/9,S/10,S/7,VRB/2,VRB/1,VRB/1,VRB/1,SE/5,S/4,S/8,S/7,S/8
10,SW/14,VRB/2,S/7,S/6,VRB/1,VRB/1,VRB/1,S/5,S/5,S/8,S/9,S/8
11,S/8,VRB/1,S/8,VRB/2,NE/5,S/6,VRB/1,NE/4,VRB/1,S/6,SW/14,S/9
12,S/10,S/8,VRB/2,S/9,VRB/2,VRB/1,S/6,SW/5,VRB/1,S/6,S/6,SW/8
13,SW/13,S/10,S/7,S/5,VRB/1,S/4,S/5,VRB/1,S/6,VRB/2,S/7,SW/11
14,S/11,S/7,S/7,S/7,SE/5,VRB/1,S/6,VRB/2,S/6,S/10,S/8,S/8
15,S/8,S/6,S/6,S/4,VRB/2,VRB/2,SE/5,S/5,VRB/1,S/9,S/8,S/8
16,SW/12,S/9,VRB/2,VRB/1,VRB/1,N/14,S/6,VRB/1,VRB/1,S/8,SW/11,S/9
17,S/8,SW/12,SW/7,S/6,VRB/1,SE/7,VRB/1,S/6,S/9,S/9,SW/14,S/10
18,S/8,VRB/2,S/6,S/6,S/5,VRB/1,VRB/1,S/8,S/8,S/7,S/8,S/8
19,S/9,SW/13,S/6,S/6,VRB/1,NE/4,VRB/1,VRB/1,S/6,VRB/2,SW/16,SW/12
20,S/9,SW/11,S/10,S/5,VRB/2,VRB/2,VRB/1,VRB/1,S/6,S/7,S/8,S/7
21,VRB/1,S/9,VRB/2,S/4,VRB/1,VRB/1,VRB/1,VRB/1,VRB/2,S/8,S/7,VRB/2
22,SW/13,SW/13,S/8,S/7,VRB/1,VRB/3,SE/5,VRB/1,S/6,VRB/2,VRB/2,S/8
23,S/4,S/6,S/9,S/8,VRB/1,VRB/2,VRB/1,VRB/2,S/9,S/8,SW/15,S/10
24,VRB/2,S/7,S/7,S/8,VRB/2,S/6,VRB/1,S/4,S/9,S/6,S/8,S/8
25,S/8,S/7,S/4,S/6,VRB/1,SE/7,VRB/1,S/5,S/8,S/7,S/7,SW/14
26,S/9,S/6,SE/6,VRB/2,SW/4,N/5,VRB/1,VRB/2,VRB/1,S/7,S/7,S/9
27,S/7,S/6,VRB/2,VRB/1,VRB/1,VRB/1,S/5,VRB/1,VRB/1,S/7,S/7,SW/13
28,S/7,S/6,S/9,VRB/1,VRB/1,VRB/1,VRB/2,S/8,S/7,S/8,S/9,SW/13
29,S/7,,S/6,VRB/1,VRB/2,VRB/1,S/5,VRB/2,S/9,S/7,S/9,S/6
30,S/9,,SW/9,VRB/1,VRB/1,VRB/1,VRB/1,VRB/1,SE/6,S/7,S/6,SW/13
31,VRB/2,,VRB/2,,VRB/1,,VRB/1,VRB/1,,S/8,,S/7
